kew_id,taxon_name,sporophytic_chromosome_number,infraspecific_variation_chrom_number,other_reported_sporophytic_chromosome_number,source_of_other_chrom_num
609672-1,Jasminum officinale L.,NA,NA,NA,NA
279034-2,Juglans nigra L.,NA,NA,32,"Zonneveld, 2019"
442427-1,Juglans regia L.,NA,NA,32,"Šmarda et al. 2019, Zonneveld, 2019"
133720-3,Juncus acutiflorus Ehrh. ex Hoffm.,40,n,40,"Zonneveld, 2019"
442636-1,Juncus acutus L.,c.42| 48,v,NA,NA
77177309-1,Juncus alpinoarticulatus Chaix,40,n,40,"Šmarda et al. 2019, Zonneveld, 2019"
1107238-2,Juncus anthelatus (Wiegand) R.E.Brooks & Whittem.,NA,NA,NA,NA
442698-1,Juncus articulatus L.,80,n,80,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
324783-2,Juncus balticus Willd.,NA,NA,84,"Zonneveld, 2019"
442732-1,Juncus biglumis L.,NA,NA,"60, 120",C-ValueDB
30079279-2,Juncus bufonius L.,108,n,NA,NA
324840-2,Juncus bulbosus L.,40,n,40,"Šmarda et al. 2019, Zonneveld, 2019"
442792-1,Juncus capitatus Weigel,NA,NA,18,"Šmarda et al. 2019, Zonneveld, 2019"
442797-1,Juncus castaneus Sm.,NA,NA,NA,NA
442830-1,Juncus compressus Jacq.,NA,NA,44,Šmarda et al. 2019
442841-1,Juncus conglomeratus L.,42,n,42,"Šmarda et al. 2019, Zonneveld, 2019"
132109-2,Juncus dudleyi Wiegand,NA,NA,"c84, 42","Zonneveld, 2019"
442917-1,Juncus effusus L.,42,n,"40, 42, 46","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
442961-1,Juncus filiformis L.,NA,NA,80,Šmarda et al. 2019
442978-1,Juncus foliosus Desf.,26,n,NA,NA
30116907-2,Juncus gerardii Loisel.,84,n,84,"Šmarda et al. 2019, Zonneveld, 2019"
443065-1,Juncus inflexus L.,40,n,"40, 42","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
443185-1,Juncus maritimus Lam.,48,n,"40, 48","Zonneveld, 2019"
443318-1,Juncus pallidus R.Br.,NA,NA,NA,NA
443362-1,Juncus planifolius R.Br.,NA,NA,NA,NA
52629-3,Juncus pygmaeus Rich. ex Thuill.,NA,NA,40,"Zonneveld, 2019"
443410-1,Juncus ranarius Songeon & E.P.Perrier,34,n,34,Šmarda et al. 2019
443512-1,Juncus squarrosus L.,40,n,40,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
443536-1,Juncus subnodulosus Schrank,40,n,40,"Zonneveld, 2019"
443542-1,Juncus subulatus Forssk.,NA,NA,NA,NA
304453-2,Juncus tenuis Willd.,NA,NA,82,Šmarda et al. 2019
443605-1,Juncus trifidus L.,NA,NA,30,Šmarda et al. 2019
443609-1,Juncus triglumis L.,NA,NA,NA,NA
443666-1,Juncus xiphioides E.Mey.,NA,NA,NA,NA
30044367-2,Juniperus chinensis L.,NA,NA,NA,NA
30088655-2,Juniperus communis L.,22,n,22,"Šmarda et al. 2019, Zonneveld, 2019"
133210-2,Kalmia angustifolia L.,NA,NA,NA,NA
279164-2,Kalmia latifolia L.,NA,NA,NA,NA
330898-1,Kalmia polifolia Wangenh.,NA,NA,NA,NA
77070250-1,"Kalmia procumbens (L.) Galasso, Banfi & F.Conti",NA,NA,NA,NA
725814-1,Kerria japonica (L.) DC.,NA,NA,NA,NA
804092-1,Kickxia elatine (L.) Dumort.,36,n,36,Šmarda et al. 2019
804122-1,Kickxia spuria (L.) Dumort.,18,n,18,"Šmarda et al. 2019, Zonneveld, 2019"
319318-1,Knautia arvensis (L.) Coult.,NA,NA,"20, 40","C-ValueDB, Šmarda et al. 2019"
537112-1,Kniphofia uvaria (L.) Oken,NA,NA,NA,NA
406615-1,Koeleria macrantha (Ledeb.) Schult.,28| 30,v,"14, 28","Šmarda et al. 2019, Zonneveld, 2019"
406739-1,Koeleria vallesiana (Honck.) Gaudin,14| 28| 42| 49| 63,vs,NA,NA
783426-1,Koelreuteria paniculata Laxm.,NA,NA,"22, 30","Zonneveld, 2019"
77152588-1,Koenigia alpina (All.) T.M.Schust. & Reveal,NA,NA,NA,NA
77152590-1,Koenigia campanulata (Hook.f.),NA,NA,NA,NA
694614-1,Koenigia islandica L.,NA,NA,NA,NA
77152603-1,Koenigia mollis (D.Don) T.M.Schust. & Reveal,NA,NA,NA,NA
77152610-1,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,NA,NA,NA,NA
77152624-1,Koenigia weyrichii (F.Schmidt) T.M.Schust. & Reveal,NA,NA,NA,NA
501425-1,Laburnum alpinum (Mill.) J.Presl,NA,NA,48,"C-ValueDB, Zonneveld, 2019"
501428-1,Laburnum anagyroides Medik.,NA,NA,48,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
327391-2,Lactuca saligna L.,NA,NA,18,C-ValueDB
228239-1,Lactuca sativa L.,NA,NA,NA,NA
228255-1,Lactuca serriola L.,18,n,18,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
228306-1,Lactuca tatarica (L.) C.A.Mey.,NA,NA,"16, 18","C-ValueDB, Zonneveld, 2019"
329493-2,Lactuca virosa L.,18,n,18,"Zonneveld, 2019"
431822-1,Lagarosiphon major (Ridl.) Moss ex V.A.Wager,NA,NA,22,C-ValueDB
406799-1,Lagurus ovatus L.,NA,NA,14,"C-ValueDB, Zonneveld, 2019"
406803-1,Lamarckia aurea (L.) Moench,NA,NA,NA,NA
448781-1,Lamiastrum galeobdolon (L.) Ehrend. & Polatschek,18| 36,v,18,C-ValueDB
448792-1,Lamium album L.,18,n,18,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
448797-1,Lamium amplexicaule L.,18,n,18,"Šmarda et al. 2019, Zonneveld, 2019"
448817-1,Lamium confertum Fr.,36,n,36,"Zonneveld, 2019"
448866-1,Lamium hybridum Vill.,36,n,36,"Zonneveld, 2019"
448886-1,Lamium maculatum (L.) L.,NA,NA,18,Šmarda et al. 2019
448939-1,Lamium purpureum L.,18,n,18,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
362165-1,Lampranthus aureus (L.) N.E.Br.,NA,NA,NA,NA
362217-1,Lampranthus falciformis (Haw.) N.E.Br.,NA,NA,NA,NA
362309-1,Lampranthus roseus (Willd.) Schwantes,36,n,NA,NA
995841-1,Lamprocapnos spectabilis (L.) Fukuhara,NA,NA,NA,NA
977249-1,Laphangium luteoalbum (L.) Tzvelev,14,n,NA,NA
117629-1,Lappula squarrosa (Retz.) Dumort.,NA,NA,"48, 54","Šmarda et al. 2019, Zonneveld, 2019"
228732-1,Lapsana communis L.,14,n,"12, 14","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
262420-1,Larix decidua Mill.,NA,NA,24,"Šmarda et al. 2019, Zonneveld, 2019"
60457419-2,Larix kaempferi (Lamb.) Carrière,NA,NA,24,"Zonneveld, 2019"
662042-1,Lathraea clandestina L.,42,n,NA,NA
662054-1,Lathraea squamaria L.,NA,NA,36,Šmarda et al. 2019
501577-1,Lathyrus annuus L.,NA,NA,14,C-ValueDB
501579-1,Lathyrus aphaca L.,14,n,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
501740-1,Lathyrus grandiflorus Sm.,NA,NA,14,C-ValueDB
501749-1,Lathyrus heterophyllus L.,NA,NA,14,C-ValueDB
501755-1,Lathyrus hirsutus L.,14,n,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30381438-2,Lathyrus japonicus Willd.,14,n,14,"Zonneveld, 2019"
501802-1,Lathyrus latifolius L.,14,n,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
501820-1,Lathyrus linifolius (Reichard) Bässler,14,n,NA,NA
501886-1,Lathyrus niger (L.) Bernh.,NA,NA,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
501889-1,Lathyrus nissolia L.,14,n,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
501909-1,Lathyrus odoratus L.,14,n,NA,NA
501912-1,Lathyrus oleraceus Lam.,14,n,NA,NA
501920-1,Lathyrus palustris L.,42,n,42,"Zonneveld, 2019"
501954-1,Lathyrus pratensis L.,14| 28,v,"14, 28","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
501990-1,Lathyrus sativus L.,NA,NA,14,C-ValueDB
502035-1,Lathyrus sylvestris L.,NA,NA,14,"C-ValueDB, Zonneveld, 2019"
502065-1,Lathyrus tuberosus L.,14,n,14,"C-ValueDB, Šmarda et al. 2019"
502084-1,Lathyrus vernus (L.) Bernh.,NA,NA,14,Šmarda et al. 2019
465049-1,Laurus nobilis L.,NA,NA,NA,NA
449008-1,Lavandula angustifolia Mill.,NA,NA,NA,NA
1109632-2,Leersia oryzoides (L.) Sw.,48,n,"48, 60","Šmarda et al. 2019, Zonneveld, 2019"
142775-1,Legousia hybrida (L.) Delarbre,20,n,NA,NA
60457789-2,Legousia speculum-veneris (L.) Chaix,NA,NA,20,"Zonneveld, 2019"
526178-1,Lemna gibba L.,40| 64,v,40,Šmarda et al. 2019
526194-1,Lemna minor L.,40,n,"40, 126","C-ValueDB, Šmarda et al. 2019"
526198-1,Lemna minuta Kunth,40,n,40,"Zonneveld, 2019"
526223-1,Lemna trisulca L.,40 (&42)| 44,vm,"40, 44","Šmarda et al. 2019, Zonneveld, 2019"
526224-1,Lemna turionifera Landolt,NA,NA,40,Šmarda et al. 2019
229358-1,Leontodon hispidus L.,14| 21,vs,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
229484-1,Leontodon saxatilis Lam.,8| 12,v,8,"Zonneveld, 2019"
449168-1,Leonurus cardiaca L.,18,n,18,"Šmarda et al. 2019, Zonneveld, 2019"
76938-3,Lepidium africanum (Burm.f.) DC.,NA,NA,NA,NA
286068-1,Lepidium bonariense L.,NA,NA,NA,NA
286087-1,Lepidium campestre (L.) W.T.Aiton,16,n,16,"Šmarda et al. 2019, Zonneveld, 2019"
60433916-2,Lepidium coronopus (L.) Al-Shehbaz,NA,NA,32,Šmarda et al. 2019
286137-1,Lepidium densiflorum Schrad.,NA,NA,32,"Šmarda et al. 2019, Zonneveld, 2019"
286148-1,Lepidium didymum L.,32,n,NA,NA
286156-1,Lepidium draba L.,NA,NA,"64, 80","Šmarda et al. 2019, Zonneveld, 2019"
324674-2,Lepidium graminifolium L.,NA,NA,"16, 48","Zonneveld, 2019"
286210-1,Lepidium heterophyllum Benth.,16,n,16,"Zonneveld, 2019"
286262-1,Lepidium latifolium L.,24,n,"24, 40","C-ValueDB, Zonneveld, 2019"
286336-1,Lepidium perfoliatum L.,NA,NA,NA,NA
30265500-2,Lepidium ruderale L.,NA,NA,"16, 32","Šmarda et al. 2019, Zonneveld, 2019"
138141-2,Lepidium sativum L.,NA,NA,"16, 24","C-ValueDB, Zonneveld, 2019"
138164-2,Lepidium virginicum L.,NA,NA,32,C-ValueDB
597505-1,Leptospermum scoparium J.R.Forst. & G.Forst.,NA,NA,NA,NA
229939-1,Leucanthemella serotina (L.) Tzvelev,NA,NA,NA,NA
30296198-2,Leucanthemum vulgare Lam.,18| 27| 36,vs,"18, 36, 54, 72","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
65743-1,Leucojum aestivum L.,NA,NA,22,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
65769-1,Leucojum vernum L.,NA,NA,20,Šmarda et al. 2019
139255-2,Leucothoe fontanesiana (Steud.) Sleumer,NA,NA,NA,NA
844187-1,Levisticum officinale W.D.J.Koch,NA,NA,22,"C-ValueDB, Zonneveld, 2019"
148526-1,Leycesteria formosa Wall.,NA,NA,18,"Zonneveld, 2019"
407309-1,Leymus arenarius (L.) Hochst.,56,s,56,"Šmarda et al. 2019, Zonneveld, 2019"
439847-1,Libertia elegans Poepp.,NA,NA,NA,NA
439848-1,Libertia formosa Graham,NA,NA,NA,NA
230729-1,Ligularia dentata (A.Gray) H.Hara,NA,NA,NA,NA
230830-1,Ligularia przewalskii (Maxim.) Diels,NA,NA,NA,NA
844602-1,Ligusticum scoticum L.,22,n,NA,NA
610056-1,Ligustrum ovalifolium Hassk.,NA,NA,46,"Zonneveld, 2019"
610130-1,Ligustrum vulgare L.,46,n,46,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
537512-1,Lilium candidum L.,NA,NA,24,C-ValueDB
537662-1,Lilium martagon L.,NA,NA,24,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
537763-1,Lilium pyrenaicum Gouan,NA,NA,24,C-ValueDB
230899-1,Limbarda crithmoides (L.) Dumort.,18,n,NA,NA
30052665-2,Limnanthes douglasii R.Br.,NA,NA,10,"C-ValueDB, Zonneveld, 2019"
50882052-1,Limonium auriculae-ursifolium (Pourr.) Druce,25,n,NA,NA
686660-1,Limonium bellidifolium (Gouan) Dumort.,18,n,NA,NA
686665-1,Limonium binervosum (G.E.Sm.) C.E.Salmon,32-36,vm,NA,NA
929581-1,Limonium britannicum Ingr.,35| 36,v,NA,NA
929584-1,Limonium dodartiforme Ingr.,35,n,NA,NA
686810-1,Limonium humile Mill.,36| 48-54,vm,"36, 48, 54","Zonneveld, 2019"
896540-1,Limonium hyblaeum Brullo,35| 36,v,NA,NA
929583-1,Limonium loganicum Ingr.,36,n,NA,NA
906537-1,Limonium normannicum Ingr.,25,n,NA,NA
686910-1,Limonium paradoxum Pugsley,33| 36,v,NA,NA
929582-1,Limonium parvum Ingr.,35,n,NA,NA
686924-1,Limonium platyphyllum Lincz.,NA,NA,NA,NA
942622-1,Limonium procerum (C.E.Salmon) Ingr.,32-37,vm,NA,NA
686945-1,Limonium recurvum C.E.Salmon,27| 35,v,NA,NA
687018-1,Limonium transwallianum (Pugsley) Pugsley,35 (&36),m,NA,NA
687035-1,Limonium vulgare Mill.,32| 36,v,"18, 36, 45","Zonneveld, 2019"
804380-1,Limosella aquatica L.,40,n,40,"Šmarda et al. 2019, Zonneveld, 2019"
329497-2,Limosella australis R.Br.,20,n,NA,NA
804452-1,Linaria arenaria DC.,NA,NA,NA,NA
1052356-2,Linaria dalmatica (L.) Mill.,NA,NA,12,"Zonneveld, 2019"
804758-1,Linaria maroccana Hook.f.,NA,NA,NA,NA
804836-1,Linaria pelisseriana (L.) Mill.,NA,NA,NA,NA
1016392-2,Linaria purpurea (L.) Mill.,NA,NA,12,"Zonneveld, 2019"
804897-1,Linaria repens (L.) Mill.,NA,NA,12,"Zonneveld, 2019"
804985-1,Linaria supina (L.) Chaz.,NA,NA,12,"C-ValueDB, Zonneveld, 2019"
325777-2,Linaria vulgaris Mill.,12,n,12,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
140689-2,Linnaea borealis L.,32,n,32,"Šmarda et al. 2019, Zonneveld, 2019"
544373-1,Linum bienne Mill.,30,n,NA,NA
544405-1,Linum catharticum L.,16,n,16,"Šmarda et al. 2019, Zonneveld, 2019"
140834-2,Linum grandiflorum Desf.,NA,NA,NA,NA
544634-1,Linum perenne L.,36,n,NA,NA
544664-1,Linum radiola L.,18,n,NA,NA
544772-1,Linum usitatissimum L.,30 +2s,s,30,"C-ValueDB, Zonneveld, 2019"
77121012-1,"Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch",18,n,NA,NA
641004-1,Liparis loeselii (L.) Rich.,NA,NA,"26, 32","Šmarda et al. 2019, Zonneveld, 2019"
30197364-2,Liriodendron tulipifera L.,NA,NA,NA,NA
118163-1,Lithospermum officinale L.,28,s,28,"Šmarda et al. 2019, Zonneveld, 2019"
684810-1,Littorella uniflora (L.) Asch.,24,n,24,"Šmarda et al. 2019, Zonneveld, 2019"
143206-1,Lobelia dortmanna L.,14,n,"14, 24","C-ValueDB, Zonneveld, 2019"
143240-1,Lobelia erinus L.,NA,NA,"14, 28, 42","Zonneveld, 2019"
143992-1,Lobelia urens L.,NA,NA,NA,NA
1085072-2,Lobularia maritima (L.) Desv.,NA,NA,NA,NA
231064-1,Logfia gallica (L.) Coss. & Germ.,NA,NA,28,C-ValueDB
231067-1,Logfia minima (Sm.) Dumort.,NA,NA,28,C-ValueDB
407486-1,Lolium multiflorum Lam.,14,n,14,Šmarda et al. 2019
407493-1,Lolium perenne L.,14,n,14,Šmarda et al. 2019
407503-1,Lolium rigidum Gaudin,NA,NA,14,"C-ValueDB, Šmarda et al. 2019"
407516-1,Lolium temulentum L.,NA,NA,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
148670-1,Lonicera caprifolium L.,NA,NA,18,C-ValueDB
148818-1,Lonicera henryi Hemsl.,NA,NA,NA,NA
143461-2,Lonicera involucrata (Richardson) Banks ex Spreng.,NA,NA,NA,NA
148850-1,Lonicera japonica Thunb.,NA,NA,18,"Zonneveld, 2019"
148961-1,Lonicera nitida E.H.Wilson,NA,NA,18,"Zonneveld, 2019"
149006-1,Lonicera periclymenum L.,18| 54,v,"18, 36, 54","Zonneveld, 2019"
149015-1,Lonicera pileata Oliv.,NA,NA,NA,NA
149131-1,Lonicera tatarica L.,NA,NA,18,"Zonneveld, 2019"
149194-1,Lonicera xylosteum L.,NA,NA,18,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
503465-1,Lotus angustissimus L.,12,n,12,C-ValueDB
30179739-2,Lotus corniculatus L.,24,n,24,"C-ValueDB, Šmarda et al. 2019"
503681-1,Lotus hirsutus L.,NA,NA,NA,NA
503752-1,Lotus maritimus L.,NA,NA,14,"C-ValueDB, Šmarda et al. 2019"
503822-1,Lotus pedunculatus Cav.,12,n,12,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
503900-1,Lotus subbiflorus Lag.,24,n,24,C-ValueDB
503917-1,Lotus tenuis Waldst. & Kit. ex Willd.,12,n,12,"C-ValueDB, Šmarda et al. 2019"
943788-1,Ludwigia grandiflora (Michx.) Greuter & Burdet,80,n,80,"Zonneveld, 2019"
30031106-2,Ludwigia palustris (L.) Elliott,16,n,16,"Zonneveld, 2019"
144523-2,Luma apiculata (DC.) Burret,NA,NA,NA,NA
286647-1,Lunaria annua L.,NA,NA,30,"Zonneveld, 2019"
504069-1,Lupinus albus L.,NA,NA,NA,NA
504124-1,Lupinus angustifolius L.,NA,NA,"40, 48","Zonneveld, 2019"
504137-1,Lupinus arboreus Sims,NA,NA,NA,NA
504707-1,Lupinus luteus L.,NA,NA,48-56,"Zonneveld, 2019"
145614-2,Lupinus nootkatensis Donn ex Sims,48,n,NA,NA
504939-1,Lupinus polyphyllus Lindl.,NA,NA,48,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
58435-1,Luronium natans (L.) Raf.,38,n,"38, 42","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
443712-1,Luzula arcuata (Wahlenb.) Sw.,NA,NA,NA,NA
443746-1,Luzula campestris (L.) DC.,12,n,"12, 18-36","Šmarda et al. 2019, Zonneveld, 2019"
443795-1,Luzula forsteri (Sm.) DC.,24,n,24,C-ValueDB
146224-2,Luzula luzuloides (Lam.) Dandy & Wilmott,12,n,12,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
1159940-2,Luzula multiflora (Ehrh.) Lej.,24| 36| 48,v,36,Šmarda et al. 2019
443878-1,Luzula nivea (L.) DC.,NA,NA,12,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
146239-2,Luzula pallescens Sw.,12,n,12,"C-ValueDB, Šmarda et al. 2019"
443907-1,Luzula pilosa (L.) Willd.,62| 66,v,"62, 66","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
443940-1,Luzula spicata (L.) DC.,24,n,24,"C-ValueDB, Šmarda et al. 2019"
20009373-1,Luzula sylvatica (Huds.) Gaudin,12,n,12,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
816356-1,Lycium barbarum L.,NA,NA,24,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
816389-1,Lycium chinense Mill.,NA,NA,"24, 36, 48","C-ValueDB, Zonneveld, 2019"
146933-2,Lycopodiella inundata (L.) Holub,156,n,156,Šmarda et al. 2019
304983-2,Lycopodium annotinum L.,c.68,n,68,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
304307-2,Lycopodium clavatum L.,68,n,68,"Šmarda et al. 2019, Zonneveld, 2019"
1159641-2,Lycopodium lagopus (Laest. ex Hartm.) Zinserl. ex Kusen.,NA,NA,NA,NA
118348-1,Lycopsis arvensis L.,NA,NA,48,Šmarda et al. 2019
449641-1,Lycopus europaeus L.,22,n,22,"Šmarda et al. 2019, Zonneveld, 2019"
147962-2,Lysichiton americanus Hultén & H. St. John,NA,NA,28,"Zonneveld, 2019"
60450477-2,Lysichiton camtschatcensis (L.) Schott,NA,NA,NA,NA
77100386-1,Lysimachia arvensis (L.) U.Manns & Anderb.,40,n,NA,NA
148117-2,Lysimachia ciliata L.,NA,NA,NA,NA
77100395-1,Lysimachia europaea (L.) U.Manns & Anderb.,c.160,n,NA,NA
77100397-1,Lysimachia foemina (Mill.) U.Manns & Anderb.,NA,NA,NA,NA
77068343-1,"Lysimachia maritima (L.) Galasso, Banfi & Soldano",30,n,NA,NA
77100404-1,Lysimachia minima (L.) U.Manns & Anderb.,NA,NA,NA,NA
701254-1,Lysimachia nemorum L.,16| 18,v,"16, 18","Šmarda et al. 2019, Zonneveld, 2019"
701260-1,Lysimachia nummularia L.,43,n,"30, 30-43, 43","Šmarda et al. 2019, Zonneveld, 2019"
701308-1,Lysimachia punctata L.,30,n,30,"Šmarda et al. 2019, Zonneveld, 2019"
701384-1,Lysimachia tenella L.,22,n,NA,NA
148158-2,Lysimachia terrestris (L.) Britton,NA,NA,NA,NA
148161-2,Lysimachia thyrsiflora L.,NA,NA,"40, 42","Šmarda et al. 2019, Zonneveld, 2019"
701414-1,Lysimachia vulgaris L.,84,n,"42, 84","Šmarda et al. 2019, Zonneveld, 2019"
147982-2,Lythrum hyssopifolia L.,NA,NA,"20, 30","Šmarda et al. 2019, Zonneveld, 2019"
553740-1,Lythrum junceum Banks & Sol.,NA,NA,NA,NA
553777-1,Lythrum portula (L.) D.A.Webb,10,n,10,"Zonneveld, 2019"
147990-2,Lythrum salicaria L.,60,s,60,"Šmarda et al. 2019, Zonneveld, 2019"
1148915-2,Mahonia aquifolium (Pursh) Nutt.,NA,NA,28,Šmarda et al. 2019
30042358-2,Maianthemum bifolium (L.) F.W.Schmidt,36| c.42,v,36,Šmarda et al. 2019
538035-1,Maianthemum kamtschaticum (Cham.) Nakai,NA,NA,NA,NA
286774-1,Malcolmia maritima (L.) W.T.Aiton,NA,NA,NA,NA
726243-1,Malus baccata (L.) Borkh.,NA,NA,34,C-ValueDB
726282-1,Malus domestica (Suckow) Borkh.,34| 51,v,34,"C-ValueDB, Šmarda et al. 2019"
726310-1,Malus hupehensis (Pamp.) Rehder,NA,NA,"34, 51",C-ValueDB
726415-1,Malus sylvestris (L.) Mill.,NA,NA,34,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
561521-1,Malva alcea L.,NA,NA,84,"Šmarda et al. 2019, Zonneveld, 2019"
561541-1,Malva arborea (L.) Webb & Berthel.,36,n,NA,NA
561790-1,Malva moschata L.,42,n,42,Šmarda et al. 2019
77068347-1,"Malva multiflora (Cav.) Soldano, Banfi & Galasso",NA,NA,NA,NA
561795-1,Malva neglecta Wallr.,42,n,42,"Šmarda et al. 2019, Zonneveld, 2019"
561830-1,Malva parviflora L.,NA,NA,42,C-ValueDB
561868-1,Malva pusilla Sm.,NA,NA,42,"Šmarda et al. 2019, Zonneveld, 2019"
561909-1,Malva setigera Schimp. & Spenn.,NA,NA,NA,NA
561932-1,Malva sylvestris L.,42,n,42,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
561957-1,Malva trimestris (L.) Salisb.,NA,NA,NA,NA
561971-1,Malva verticillata L.,NA,NA,NA,NA
449990-1,Marrubium vulgare L.,34,n,34,"Zonneveld, 2019"
154715-2,Matricaria chamomilla L.,18,n,"18, 36","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
154716-2,Matricaria discoidea DC.,18,n,18,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
17145680-1,Matteuccia struthiopteris (L.) Tod.,NA,NA,80,Šmarda et al. 2019
286910-1,Matthiola incana (L.) W.T.Aiton,14,n,14,C-ValueDB
147284-3,Matthiola longipetala (Vent.) DC.,NA,NA,NA,NA
286966-1,Matthiola sinuata (L.) W.T.Aiton,14,n,14,C-ValueDB
983972-1,Mauranthemum paludosum (Poir.) Vogt & Oberpr.,NA,NA,NA,NA
58427-3,Medicago arabica (L.) Huds.,16,n,16,"C-ValueDB, Zonneveld, 2019"
506064-1,Medicago arborea L.,NA,NA,32,C-ValueDB
506247-1,Medicago laciniata (L.) Mill.,NA,NA,16,C-ValueDB
506264-1,Medicago littoralis Rohde ex Loisel.,NA,NA,NA,NA
506268-1,Medicago lupulina L.,16,n,16,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
77089103-1,Medicago minima (L.) Bartal.,NA,NA,"16, 32","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
60465997-2,Medicago polymorpha L.,NA,NA,"14, 16","C-ValueDB, Zonneveld, 2019"
506362-1,Medicago praecox DC.,NA,NA,NA,NA
30234961-2,Medicago sativa L.,32,n,32,"C-ValueDB, Šmarda et al. 2019"
506474-1,Medicago truncatula Gaertn.,NA,NA,16,C-ValueDB
805620-1,Melampyrum arvense L.,NA,NA,18,"Šmarda et al. 2019, Zonneveld, 2019"
805650-1,Melampyrum cristatum L.,18,n,18,Šmarda et al. 2019
805713-1,Melampyrum pratense L.,NA,NA,18,"C-ValueDB, Šmarda et al. 2019"
805739-1,Melampyrum sylvaticum L.,NA,NA,18,Šmarda et al. 2019
844904-1,Melanoselinum decipiens (Schrad. & J.C.Wendl.) Hoffm.,NA,NA,NA,NA
408086-1,Melica nutans L.,18,n,18,"Šmarda et al. 2019, Zonneveld, 2019"
408184-1,Melica uniflora Retz.,18,n,18,"Šmarda et al. 2019, Zonneveld, 2019"
156656-2,Melilotus albus Medik.,NA,NA,16,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
506901-1,Melilotus altissimus Thuill.,NA,NA,16,"Šmarda et al. 2019, Zonneveld, 2019"
1207360-2,Melilotus indicus (L.) All.,NA,NA,16,"Zonneveld, 2019"
30429323-2,Melilotus officinalis (L.) Pall.,NA,NA,16,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
507047-1,Melilotus sulcatus Desf.,NA,NA,NA,NA
450084-1,Melissa officinalis L.,NA,NA,"32, 34, 36","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
450128-1,Melittis melissophyllum L.,30,n,30,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
450192-1,Mentha aquatica L.,96,n,96,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30026217-2,Mentha arvensis L.,72,n,72,"Šmarda et al. 2019, Zonneveld, 2019"
451022-1,Mentha pulegium L.,20,n,20,"Šmarda et al. 2019, Zonneveld, 2019"
451048-1,Mentha requienii Benth.,18,n,NA,NA
451162-1,Mentha spicata L.,36| 48,v,"36, 48","Šmarda et al. 2019, Zonneveld, 2019"
451188-1,Mentha suaveolens Ehrh.,24,n,24,"Zonneveld, 2019"
50970102-1,Menyanthes trifoliata L.,54,n,54,"Šmarda et al. 2019, Zonneveld, 2019"
352179-1,Mercurialis annua L.,NA,NA,"16, 32, 48, 56","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
352211-1,Mercurialis perennis L.,64,n,"64, 80","Šmarda et al. 2019, Zonneveld, 2019"
