kew_id,taxon_name,cited_name,sporophytic_chromosome_number,notes,unambiguous_match,number_identical_observations,,,,,
163905-1,Atriplex laciniata L.,Atriplex laciniata L.,18,,y,1,,,,,
308388-2,Atriplex littoralis L.,Atriplex littoralis L.,18,,y,4,,,,,
308388-2,Atriplex littoralis L.,Atriplex littoralis L.,36,,y,1,,,,,
163935-1,Atriplex longipes Drejer,Atriplex longipes Drejer,18,,y,2,,,,,
26419-2,Atriplex patula L.,Atriplex patula L.,36,,y,8,,,,,
164072-1,Atriplex portulacoides L.,Atriplex portulacoides L.,36,,y,1,,,,,
164072-1,Atriplex portulacoides L.,Halimione portulacoides (L.) Aellen,36,,n,1,,,,,
164074-1,Atriplex praecox Hülph.,Atriplex praecox Hülph.,18,,y,1,,,,,
60448217-2,Atriplex prostrata Boucher ex DC.,"Atriplex hastata sensu L.(1754), non L.(1753)",18,,n,8,,,,,
60448217-2,Atriplex prostrata Boucher ex DC.,Atriplex prostrata Boucher ex DC.,18,,y,1,,,,,
60448217-2,Atriplex prostrata Boucher ex DC.,Atriplex triangularis Willd.,18,,n,1,,,,,
814358-1,Atropa belladonna L.,Atropa belladonna L.,72,,y,1,,,,,
391337-1,Avena barbata Pott ex Link,Avena barbata Pott ex Link,28,,y,1,,,,,
391443-1,Avena fatua L.,Avena fatua L.,42,,y,1,,,,,
391732-1,Avena sativa L.,Avena sativa L. [cultivated],42,,y,1,,,,,
391799-1,Avena strigosa Schreb.,Avena strigosa Schreb. [cultivated],14,,y,1,,,,,
391947-1,Avenella flexuosa (L.) Drejer,Deschampsia flexuosa (L.) Trin.,14,,n,1,,,,,
391947-1,Avenella flexuosa (L.) Drejer,Deschampsia flexuosa (L.) Trin.,28,,n,1,,,,,
392028-1,Avenula pubescens (Huds.) Dumort.,Helictotrichon pubescens (Huds.) Pilg.,14,,n,5,,,,,
58276-1,Baldellia ranunculoides (L.) Parl.,Baldellia ranunculoides (L.) Parl.,16,,y,2,,,,,
58276-1,Baldellia ranunculoides (L.) Parl.,Baldellia ranunculoides subsp. ranunculoides ,16,,n,1,,,,,
444976-1,Ballota nigra L.,Ballota nigra L.,22,,y,1,,,,,
444976-1,Ballota nigra L.,Ballota nigra subsp. foetida (Lam.) Hayek,22,,n,1,,,,,
29455-2,Barbarea vulgaris W.T.Aiton,Barbarea vulgaris W.T.Aiton,16,,y,2,,,,,
273085-2,Bartsia alpina L.,Bartsia alpina L.,24,,y,2,,,,,
184409-1,Bellis perennis L.,Bellis perennis L.,18,,y,4,,,,,
164505-1,Beta vulgaris L.,Beta vulgaris subsp. maritima (L.) Arcang.,18,,n,2,,,,,
445133-1,Betonica officinalis L.,Betonica officinalis L.,16,,y,1,,,,,
445133-1,Betonica officinalis L.,Betonica officinalis var. nana (Druce ex Ham.Davy) P.D.Sell,16,,n,1,,,,,
445133-1,Betonica officinalis L.,Stachys officinalis (L.) Trevis.,16,,n,3,,,,,
301322-2,Betula nana L.,Betula nana L.,28,,y,2,,,,,
295174-1,Betula pendula Roth,Betula pendula Roth,,26.9-34.1 (range of means),y,1,,,,,
295174-1,Betula pendula Roth,Betula pendula Roth,,27 (mean)| (26-28 range),y,1,,,,,
295174-1,Betula pendula Roth,Betula pendula Roth,,27.7-27.9 (range of means),y,1,,,,,
295174-1,Betula pendula Roth,Betula pendula Roth,,28 (mode/tree),y,1,,,,,
295174-1,Betula pendula Roth,Betula pendula Roth,28,,y,3,,,,,
295185-1,Betula pubescens Ehrh.,Betula pubescens Ehrh.,,37.3-56.0 (range of means),y,1,,,,,
295185-1,Betula pubescens Ehrh.,Betula pubescens Ehrh.,,37-56 (range) (mixoploid),y,1,,,,,
